,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO70,95Q,ACDO70,ACDOMM,Urange,Delta,RHavgOverall
31,"Havre, MT",HAS LCD,WBTmin,29.05181631254284,18.37390352739386,-0.7604588635135928,7295,-29.0,-26.52,65.0,31.0,46.0,0.0,0.0,-7.0,0.0,0.0,58.05181631254284,55.57181631254284,65.84906441357828
32,"Helena, MT",HAA LCD,WBTmin,31.48262937869396,15.321908178744383,-0.6703940102744589,6937,-27.0,-15.108108108108109,62.0,33.0,28.0,0.0,0.0,2.0,0.0,0.0,58.48262937869396,46.59073748680207,58.632741700493895
33,"Honolulu, HI",HIA LCD,WBTmin,67.49650924024641,3.4498888669742884,-1.6220664312448885,7305,0.0,56.92125984251968,78.0,68.0,69.0,0.05,55.4,61.0,4.995403730256672,0.0,67.49650924024641,10.57524939772673,68.40984800345089
34,"Houston, TX",HWA LCD,WBTmin,59.82642818032488,13.788536289863424,-0.5595949616572837,5479,0.0,25.0,79.0,63.0,75.0,1.7,82.15,35.0,11.094485202297705,0.65625,59.82642818032488,34.826428180324875,75.05966531014808
35,"Idaho Falls, ID",IFA LCD,WBTmin,30.292587522002737,14.648474307713023,-0.6199408969457553,5113,-29.0,-14.11320754716981,59.0,32.0,45.0,0.0,0.0,3.0,0.0,0.0,59.292587522002734,44.40579506917255,67.13329931309129
36,"Indianapolis, IN",IIA LCD,WBTmin,43.0454483230664,18.099772579815266,-0.3168940634082142,7305,-15.0,-3.0352941176470587,77.0,44.0,62.0,0.0,7.85,13.0,2.533333333333333,0.0,58.0454483230664,46.08074244071345,72.64175213658974
37,"Jacksonville, FL",JIA LCD,WBTmin,57.52101300479124,13.580066644244312,-0.5884052003347411,7305,0.0,22.36842105263158,78.0,60.0,72.0,0.1,79.15,33.0,7.929751914751914,0.0,57.52101300479124,35.15259195215965,78.59533583857012
38,"Klamath Falls, OR",KIA LCD,WBTmin,32.099908675799085,11.434485610593706,-0.3083276630049163,5475,-21.0,-2.5172413793103448,61.0,32.0,27.0,0.0,0.0,13.0,0.0,0.0,53.099908675799085,34.61715005510943,68.70217242248255
39,"Las Vegas, NV",MIA LCD,WBTmin,46.32473944048272,10.554582272159728,0.0717282100761144,7292,0.0,23.195652173913043,72.0,46.0,41.0,0.0,0.6,30.0,0.3,0.0,46.32473944048272,23.12908726656968,28.162786368913206
40,"Lebanon, NH",LMA LCD,WBTmin,34.096568090544,18.995271963562818,-0.3941057798039239,5478,-25.0,-16.639344262295083,72.0,35.0,29.0,0.0,0.1,0.0,0.0,0.0,59.096568090544,50.73591235283908,75.73536367334198
41,"Los Angeles, CA",LAI LCD,WBTmin,53.54818780889621,7.436534385598406,-0.4284284827553601,7284,0.0,34.25925925925926,71.0,54.0,60.0,0.0,0.05,40.0,0.0,0.0,53.54818780889621,19.28892854963695,72.07399283468597
42,"Louisville, KY",LIA LCD,WBTmin,46.99520810514787,17.179990846082507,-0.2842999062820158,7304,-6.0,5.379310344827586,77.0,48.0,66.0,0.0,19.75,19.0,3.634583333333333,0.0,52.99520810514787,41.61589776032028,68.25530546371577
43,"Memphis, TN",MIA LCD,WBTmin,51.43541523678792,16.317125181095893,-0.3152795133017189,7285,0.0,12.64,78.0,53.0,71.0,0.2,46.7,24.0,6.013541666666667,0.1,51.43541523678792,38.79541523678792,68.17956624406796
44,MIA second try,,WBTmin,66.5051082958725,8.607860003504186,-1.3065611352565727,24470,0.0,36.1501976284585,80.0,69.0,74.0,1.4714285714285715,144.84285714285716,49.0,14.223937436857442,0.4448529411764705,66.5051082958725,30.354910667414003,73.2323042281396
45,"Miles City, MT",MCA LCD,WBTmin,32.04665203073546,18.87439515551888,-0.6011526867361621,5466,-29.0,-22.220338983050848,69.0,33.0,28.0,0.0,0.0,-4.0,0.0,0.0,61.04665203073546,54.26699101378631,64.78692069628718
46,"Milwaukee, WI",MMA LCD,WBTmin,38.86392881587953,18.106199547270627,-0.2775574959644674,7305,-21.0,-6.72972972972973,76.0,39.0,29.0,0.0,2.0,7.0,0.625,0.0,59.86392881587953,45.59365854560926,72.08938538240345
47,"Minneapolis, MN",MIA LCD,WBTmin,36.495768688293374,20.92088115770366,-0.3700970464324083,7090,-28.0,-14.079545454545457,78.0,38.0,58.0,0.05,2.95,-1.0,0.9666666666666668,0.0,64.49576868829337,50.57531414283883,69.9651707396679
48,"Moline, IL",MCA LCD,WBTmin,39.92524644030668,19.417761205671265,-0.3614145095103733,7304,-29.0,-11.40506329113924,78.0,41.0,54.0,0.05,5.35,6.0,1.6208333333333331,0.0,68.92524644030668,51.33030973144592,72.860911569488
