,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO90,95Q,ACDO90,ACDOMM,Urange,Delta,RHavgOverall
33,"Houston, TX",HWA LCD,Tmax,91.14511612584418,4.061890506577047,-0.5486072695894902,6071,74.0,101.07575757575758,105.0,92.0,92.0,9.742857142857142,51.92857142857143,97.0,7.921239997376361,2.632070707070707,13.854883874155815,9.930641449913397,74.90032184700092
34,"Idaho Falls, ID",IFA LCD,Tmax,81.67836778332145,9.147134728622207,-0.8826598286559179,5612,44.0,97.79032258064515,102.0,83.0,88.0,1.457142857142857,11.814285714285717,93.0,3.1163934426229503,0.6721311475409836,20.32163221667855,16.11195479732372,64.86131171702284
35,"Indianapolis, IN",IIA LCD,Tmax,83.1953277092797,6.194327980508842,-0.4127131154455544,6164,56.0,97.95121951219512,105.0,84.0,85.0,1.1714285714285717,9.085714285714284,92.0,2.166666666666667,0.3893034825870646,21.804672290720305,14.755891802915428,72.85787104300496
36,"Jacksonville, FL",JIA LCD,Tmax,90.08523119392684,4.223237006451797,-0.433193797296053,5796,69.0,99.8,103.0,90.0,90.0,6.7,38.9,97.0,5.324373069611166,2.275132275132276,12.914768806073155,9.714768806073153,77.1008903429376
37,"Kansas City, Missouri",KCA LCD,Tmax,85.32220566318927,7.612263532540776,-0.2201356223339338,3355,56.0,104.75,109.0,86.0,86.0,5.4,16.06,97.0,3.75542588042588,2.1267052767052763,23.67779433681073,19.42779433681073,65.37514660916158
38,"Klamath Falls, OR",KIA LCD,Tmax,80.08038064385504,9.580754998761988,-0.7193212781183038,4939,42.0,98.03174603174604,103.0,82.0,84.0,1.4333333333333331,9.3,93.0,3.318827160493828,0.617283950617284,22.919619356144963,17.951365387891002,66.28106969795752
39,"Las Vegas, NV",MIA LCD,Tmax,100.82493412384716,6.684925239431882,-0.9327031089334552,6072,67.0,113.84615384615384,116.0,102.0,102.0,69.68571428571428,78.78571428571429,110.0,32.57142857142857,15.061087061087065,15.175065876152829,13.021219722306668,29.36589625561554
40,"Lebanon, NH",LMA LCD,Tmax,79.7032170367014,7.311770499561636,-0.5067905919126228,2207,48.0,95.91304347826087,98.0,81.0,81.0,0.24,2.18,91.0,2.0902777777777777,0.1666666666666666,18.2967829632986,16.20982644155947,74.76129972380312
41,"Los Angeles, CA",LAI LCD,Tmax,73.67861778066191,4.49204975519663,1.0029349398491847,6164,60.0,91.6774193548387,104.0,73.0,73.0,0.1571428571428571,0.4285714285714285,82.0,0.1343283582089552,0.1044776119402985,30.32138221933809,17.998801574176795,71.62437479853978
42,"Louisville, KY",LIA LCD,Tmax,86.09669046073978,6.049229850067039,-0.4175274109618895,6164,59.0,100.61643835616438,105.0,86.0,88.0,3.5,20.757142857142856,95.0,3.639078955870001,1.179353233830846,18.90330953926022,14.5197478954246,69.12018659331363
43,"Memphis, TN",MIA LCD,Tmax,89.74918883841661,5.390257361493331,-0.4143040420293625,6164,68.0,102.45121951219512,107.0,90.0,93.0,11.085714285714284,41.785714285714285,98.0,6.0666952036355015,2.9149135276000946,17.250811161583385,12.70203067377851,68.20348045272728
44,MIA second try,,Tmax,88.7579493835172,2.8042004184892177,-0.5987064392668646,6164,75.0,95.58536585365852,98.0,89.0,90.0,0.4428571428571428,22.1,93.0,3.4879265427772888,0.1641791044776119,9.2420506164828,6.82741647014133,73.2323042281396
45,"Miles City, MT",MCA LCD,Tmax,84.24571805006588,10.329258211945415,-0.4419896468935735,6072,40.0,105.25396825396824,111.0,85.0,90.0,11.8,25.82857142857143,99.0,3.3846550755641664,2.5270202020202026,26.754281949934125,21.00825020390237,62.58395532089705
46,"Milwaukee, WI",MMA LCD,Tmax,77.74631837307153,8.339945137879873,-0.1838609102238889,5704,49.0,96.80898876404494,103.0,78.0,81.0,0.7714285714285715,4.642857142857143,91.0,1.461021505376344,0.2983870967741935,25.25368162692847,19.06267039097341,72.30356174231814
47,"Minneapolis, MN",MIA LCD,Tmax,80.50567813108371,7.715882820968257,-0.2765244991635517,6164,43.0,98.55555555555556,104.0,81.0,82.0,1.5,6.9375,93.0,2.2259772565742715,0.7029850746268657,23.494321868916288,18.049877424471845,69.07008187338843
48,"Moline, IL",MCA LCD,Tmax,83.21933809214795,6.963721869403051,-0.3157456284659896,6164,55.0,99.52054794520548,103.0,83.5,85.0,2.4857142857142858,12.657142857142857,94.0,2.7980131808490025,0.8407960199004975,19.78066190785205,16.30120985305753,71.5757811521603
49,"Montpelier, VT",MPA LCD,Tmax,75.30923507462687,7.515096036960534,-0.3933452897167065,4288,50.0,91.52777777777776,105.0,76.0,79.0,0.06,0.82,87.0,0.2446808510638297,0.0,29.69076492537313,16.218542703150902,75.33711021708955
