,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO70,95Q,ACDO70,ACDOMM,Urange,Delta,RHavgOverall
64,"Redding, CA",RAS LCD,WBTmin,56.94007893792609,4.721181654956808,0.0001932160962082,2787,41.0,44.85714285714285,73.0,57.0,54.0,0.0,0.06,49.0,0.0,0.0,15.940078937926089,12.082936080783234,57.43249683069487
65,"Rock Springs, WY",RSA LCD,WBTmin,43.63563344286236,5.323124659737869,-0.2789416543113153,5478,23.0,28.580645161290324,58.0,44.0,44.0,0.0,0.0,34.0,0.0,0.0,20.63563344286236,15.054988281572031,55.68435372959353
66,"Sacramento, CA",SAA LCD,WBTmin,54.34227448098475,3.2318500005758044,-0.1247206235282441,5443,40.0,44.95,70.0,54.0,54.0,0.0,0.0,49.0,0.0,0.0,14.342274480984749,9.392274480984746,67.64918987863683
67,"Salt Lake City, UT",SLC LCD,WBTmin,52.27443667443667,5.460821037866562,-0.3316350157681304,6435,32.0,36.7027027027027,66.0,53.0,53.0,0.0,0.0,43.0,0.0,0.0,20.27443667443667,15.57173397173397,55.454125291854766
68,"San Antonio, TX",SAK LCD,WBTmin,71.07724756129713,3.173611139172316,-1.4241887366304131,3793,54.0,57.97674418604651,78.0,72.0,73.0,0.0,30.825,65.0,6.809697692244862,0.0,17.077247561297128,13.100503375250618,69.33697998035609
69,"San Diego, CA",SDI LCD,WBTmin,61.60269524273421,3.450548176421619,-0.0317538284609475,6159,48.0,53.05217391304348,73.0,62.0,61.0,0.0,0.3857142857142857,56.0,0.1492537313432835,0.0,13.602695242734208,8.550521329690731,70.32655746005702
70,"San Jose, CA",SJS LCD,WBTmin,55.12608695652174,3.2399298692496346,-0.0696358431685218,1380,44.0,46.35294117647059,67.0,55.0,54.0,0.0,0.0,50.0,0.0,0.0,11.12608695652174,8.773145780051152,66.57661999715768
71,"Scottsbluff, NE",SBA LCD,WBTmin,53.51996672212979,5.5019600802214255,-0.6276447274889364,6010,29.0,37.09756097560975,69.0,54.0,57.0,0.0,0.0,43.0,0.0,0.0,24.519966722129787,16.422405746520035,61.84062730982051
72,"Seattle, WA",STA LCD,WBTmin,52.09312134977287,3.5463590642782963,-0.0548590038650181,6164,38.0,43.10714285714285,67.0,52.0,52.0,0.0,0.0,46.0,0.0,0.0,14.093121349772872,8.985978492630018,75.7078059841263
73,"Shreveport, LA",SAS LCD,WBTmin,70.16937053861129,3.7973311343556913,-1.2134448672617375,6164,50.0,56.24691358024691,78.0,71.0,72.0,0.0,47.92857142857143,63.0,7.74589241604167,0.0,20.16937053861129,13.922456958364378,72.27359802420592
74,"Sioux City, IA",SCA LCD,WBTmin,59.99983776768333,6.430820397081623,-0.3340747458224776,6164,36.0,42.2463768115942,77.0,61.0,61.0,0.0,2.5,49.0,1.129850746268657,0.0,23.999837767683324,17.75346095608912,71.3982448489644
75,"Spokane, WA",SIA LCD,WBTmin,48.43939393939394,4.956591826168589,-0.0621552682422777,6072,31.0,35.6551724137931,64.0,48.0,47.0,0.0,0.0,40.0,0.0,0.0,17.439393939393938,12.784221525600834,66.65985299867073
76,"St Louis, MO",SLA LCD,WBTmin,65.29656067488644,5.857571447719397,-0.5207571521331028,6164,44.0,48.45454545454545,79.0,66.0,70.0,0.0142857142857142,17.542857142857144,55.0,3.737402274342573,0.0,21.29656067488644,16.842015220340983,68.73989704170232
77,"Tampa, FL",TIA LCD,WBTmin,72.45717066839714,2.495540898573512,-0.7745893763964551,6164,52.0,63.44155844155844,81.0,73.0,73.0,0.1714285714285714,70.61428571428571,68.0,16.7377091813659,0.0597014925373134,20.45717066839714,9.015612226838698,74.09578560852457
78,"Utica, NY",UOA LCD,WBTmin,58.80434782608695,6.401832499939207,-0.1308811024023231,184,44.0,44.0,73.0,59.0,65.0,0.0,0.1,48.15,1.0,0.0,14.804347826086952,14.804347826086952,74.31537712290978
79,"Washington, DC",WRA LCD,WBTmin,65.36552034840066,5.7470106030266646,-0.5798267126691953,6659,42.0,48.61038961038961,79.0,66.0,70.0,0.0125,16.2875,55.0,3.554810167310167,0.0,23.365520348400665,16.755130738011054,66.28455007984752
80,"Wausau, WI",WAS LCD,WBTmin,55.27591973244147,6.45572433290436,-0.1695998778195271,3588,34.0,38.71153846153846,71.0,55.0,58.0,0.0,0.1142857142857142,45.0,0.0512820512820512,0.0,21.27591973244148,16.564381270903013,73.24777277192507
81,"Wichita, KS",WMC LCD,WBTmin,65.10917721518987,5.074674456752128,-0.593557972338152,2528,45.0,49.766666666666666,78.0,66.0,68.0,0.0,5.366666666666666,56.0,1.7319819819819822,0.0,20.10917721518988,15.342510548523208,68.27239304687
82,"Winnemucca, NV",WAS LCD,WBTmin,41.879181552452096,6.490281928546775,0.1942406308840858,6158,22.0,26.477272727272727,63.0,42.0,41.0,0.0,0.0,32.0,0.0,0.0,19.879181552452096,15.401908825179367,50.03093125705812
83,"Winslow, AZ",WAS LCD,WBTmin,50.97385484208325,8.170271891744893,-0.4796061452628733,4781,26.0,31.428571428571427,66.0,53.0,57.0,0.0,0.0,37.0,0.0,0.0,24.97385484208325,19.54528341351182,43.35920991972777
