,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO70,95Q,ACDO70,ACDOMM,Urange,Delta,RHavgOverall,Pcau,POcau,Pexcau,POexcau,Pdan,POdan,Pexdan
17,"Cincinnati, OH",CMA LCD,HImin,64.74511634125001,6.795178086015752,-0.6137415776111266,3680,11.0,44.47919512195124,84.50195226000007,65.49600000000001,64.80000000000001,0.0,22.675,52.7,4.015327380952381,0.0,53.74511634125001,20.26592121929877,75.72689903916357,0.0016304347826086,0.0016304347826086,0.0,0.0,0.0,0.0,0.0
18,"Cleveland, OH",CHA LCD,HImin,61.74126578984752,7.473997471280897,-0.3850320814609204,6164,36.0,41.2236865671642,80.34504923999998,62.412000000000006,69.83000000000001,0.0,11.071428571428571,48.46,2.418449419568822,0.0,25.74126578984752,20.51757922268332,72.1649980282403,0.0008111615833874,0.0008111615833874,0.0,0.0,0.0,0.0,0.0
19,"Colorado Springs, CO",CSA LCD,HImin,54.57203348527351,5.336981099565427,-0.5543551738779681,5704,32.0,37.99450000000001,70.63900000000001,55.206,56.489,0.0,0.0142857142857142,44.812,0.0,0.0,22.572033485273508,16.5775334852735,52.134911461542245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"Columbus, OH",JGA LCD,HImin,63.37486447769152,7.10728396298995,-0.5208838731189868,5796,38.513,42.608655172413776,84.91934310000012,64.33000000000001,68.87100000000001,0.0,15.157142857142857,50.312,3.214304610733183,0.0,24.86186447769152,20.76620930527774,70.86659809497179,0.0003450655624568,0.0003450655624568,0.0,0.0,0.0,0.0,0.0
21,"Corpus Christi, TX",CCI LCD,HImin,77.44135018090063,4.049434066404727,-0.6317305881681279,6440,4.0,63.803818181818166,94.20884634000028,76.9,76.61800000000001,0.2142857142857142,88.37142857142857,72.03000000000002,62.866666666666674,0.0285714285714285,73.44135018090063,13.637531999082462,76.66316115396938,0.2295031055900621,0.2326086956521739,0.0031055900621118,0.0031055900621118,0.0,0.0,0.0
22,"Dallas, TX",DFA LCD,HImin,77.35248309483232,5.649919258187503,-0.3724331950944778,6440,52.371,59.59786363636366,92.87061646000008,77.29500000000002,76.336,0.2285714285714285,82.17142857142858,67.677,29.01469387755102,0.0571428571428571,24.98148309483232,17.75461945846866,64.01742101545894,0.3476708074534161,0.3506211180124223,0.0029503105590062,0.0029503105590062,0.0,0.0,0.0
23,"Denver, CO",DIA LCD,HImin,55.82511848906561,7.022600139716206,-0.6382348132225434,2515,30.0,35.163444444444444,72.98,56.99700000000001,59.742,0.0,0.175,42.141200000000005,0.0,0.0,25.82511848906561,20.661674044621165,55.45966051796918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Detroit, MI",DCA LCD,HImin,63.18285745575565,7.442834041022803,-0.2669499060713273,5975,38.513,42.45606666666667,87.59790833999998,63.503,59.648,0.0,16.1,50.284000000000006,3.116520146520146,0.0,24.66985745575565,20.72679078908898,68.76837028851061,0.0045188284518828,0.0045188284518828,0.0,0.0,0.0,0.0,0.0
25,"Dickinson, ND",DRA LCD,HImin,53.29614901960785,7.011779018213072,-0.0621475649211769,5610,31.0,36.14849275362319,76.60900000000001,53.47100000000001,48.883,0.0,0.4142857142857143,41.512,0.180327868852459,0.0,22.296149019607853,17.147656265984665,68.74575248164174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"Dodge City, KS",DCA LCD,HImin,65.20035060759645,6.222461255789212,-0.6699527381696601,6403,38.983,45.44476923076923,81.5985601800001,65.96600000000001,65.43,0.0,18.4375,53.584,3.258356009070295,0.0,26.21735060759645,19.755581376827216,63.6251790004033,0.0010932375449008,0.0010932375449008,0.0,0.0,0.0,0.0,0.0
27,"Fargo, ND",FHA LCD,HImin,57.45270140827986,7.699481127233552,-0.1720806898057844,5703,33.0,37.854000000000006,85.34401088000007,57.73,57.871,0.0,3.4571428571428573,43.901900000000005,1.3629032258064515,0.0,24.452701408279857,19.59870140827985,71.30835996563705,0.0014027704716815,0.0014027704716815,0.0,0.0,0.0,0.0,0.0
28,"Fresno, CA",FYI LCD,HImin,64.15881141775324,6.435682249122391,0.0600506892899685,5795,42.96,47.76522950819671,90.925537,64.06700000000001,62.43100000000001,0.0142857142857142,14.542857142857144,53.584,3.867346938775511,0.0,21.19881141775324,16.39358190955653,59.80673112324926,0.0096635030198446,0.0098360655737704,0.0001725625539257,0.0001725625539257,0.0,0.0,0.0
29,"Grand Junction, CO",GJS LCD,HImin,60.51008046722908,6.421644487418449,-0.6168745074451406,6164,35.0,39.84522222222223,77.72800000000001,61.20900000000002,63.315000000000005,0.0,4.014285714285714,48.412400000000005,1.2014925373134326,0.0,25.51008046722908,20.66485824500685,48.53176652593117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"Havre, MT",HAS LCD,HImin,51.09611011846962,6.6012301468478825,0.0748753393108649,5149,28.0,35.53301724137931,75.18,51.243,51.27100000000001,0.0,0.1666666666666666,39.895,0.0,0.0,23.096110118469618,15.563092877090304,63.882306007509385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Helena, MT",HAA LCD,HImin,50.441113471673255,6.294315596252983,-0.0857767142548053,6072,28.0,35.303528735632185,71.88000000000001,50.773,52.71900000000001,0.0,0.0285714285714285,39.331,0.0,0.0,22.44111347167325,15.13758473604107,59.01082491607659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"Honolulu, HI",HIA LCD,HImin,75.17960567002447,2.331004293387317,0.0212147820748498,7360,64.80000000000001,68.0806103896104,85.86462334000005,75.302,75.678,0.0,89.1375,71.513,60.81666666666668,0.0,10.37960567002446,7.098995280414073,68.46217273564248,0.0317934782608695,0.0317934782608695,0.0,0.0,0.0,0.0,0.0
33,"Houston, TX",HWA LCD,HImin,76.88038255774008,3.56014085192142,-0.1030205071093671,6071,56.489,64.18528571428573,93.5691356400002,76.712,76.61800000000001,0.0857142857142857,82.47142857142858,71.071,60.88939393939395,0.0,20.39138255774008,12.695096843454351,74.90032184700092,0.1681765771701532,0.1698237522648657,0.0016471750947125,0.0016471750947125,0.0,0.0,0.0
34,"Idaho Falls, ID",IFA LCD,HImin,47.70936644079885,6.19820888179494,0.0619941046113992,5608,10.0,32.128571428571426,70.57300000000001,47.661,37.0,0.0,0.0142857142857142,38.09,0.0,0.0,37.70936644079885,15.580795012227426,64.86131171702284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"Indianapolis, IN",IIA LCD,HImin,64.66613949326087,6.867940531073464,-0.4993187774694391,6164,37.0,44.23619047619048,86.24035206000012,65.43,69.01200000000001,0.0,20.67142857142857,52.183,3.6980514096185737,0.0,27.66613949326087,20.429949017070392,72.85787104300496,0.0029201817001946,0.0029201817001946,0.0,0.0,0.0,0.0,0.0
36,"Jacksonville, FL",JIA LCD,HImin,73.69028595805385,3.34549798826407,-1.105905356551434,5796,45.77100000000001,60.10359999999999,94.20884634000028,74.23000000000002,74.41800000000002,0.0142857142857142,72.22857142857143,67.677,26.64563492063492,0.0,27.91928595805384,13.586685958053856,77.1008903429376,0.015527950310559,0.0157004830917874,0.0001725327812284,0.0001725327812284,0.0,0.0,0.0
37,"Kansas City, Missouri",KCA LCD,HImin,67.91013788928011,7.017874350752643,-0.2408656420412832,3181,43.101,47.37521875,100.90055454000009,68.44800000000001,68.44800000000001,0.04,25.84,55.54900000000001,5.416239616239617,0.0,24.80913788928011,20.534919139280102,65.37514660916158,0.0326941213454888,0.0333228544482867,0.0006287331027978,0.0006287331027978,0.0,0.0,0.0
